offer_count,free_count,dollar_count,win_count,order_count,business_count,lottery_count, mail_count,no_of_url,time_of_email,Spam
0,1.25,3.74,0,0,0,0,0,0,20.31,1
3.74,3.74,0,0,0,0,0,0,7,06.18,1
3.74,3.74,0,0,0,0,0,0,6,07.36,1
1.87,0.75,3.74,0,0,0,0,0,6,08.13,1
3.74,3.74,0,0,0,0,0,0,5,09.33,1
0,1.87,0,0,0,0,0,3.74,0,10.42,1
0,0,0,0,0,0,0,0,2,13.24,1
0,3.74,0,0,0,0,0,3.74,1,10.30,1
0,0.94,0,0,0,0,0,3.74,0,12.16,1
0,1.25,3.74,0,0,0,0,0,0,20.31,1
0,0,0,0,0,3.74,0,3.74,0,13.18,1
0,3.74,0,0,0,0,0,3.74,3,15.45,1
0,3.74,0,0,0,0,0,0,0,08.28,1
3.74,3.74,0,0,0,0,0,0,6,15.09,1
1.25,1.25,0,0,0,0,0,3.74,1,16.30,1
0,0,0,0,0,1.87,0,3.74,0,16.44,1
0,1.87,0,0,3.74,0,0,0,0,23.41,1
0,0,0,0,0,0,0,0,2,03.13,1
0,0,0,0,0,3.74,0,0,0,10.15,1
0,0,0,0,0,0,0,0,2,02.16,1
3.74,3.74,0,0,0,0,0,0,7,06.18,1
3.74,3.74,0,0,0,0,0,0,7,13.43,1
0,0,0,0,0,1.25,0,0,1,20.41,1
0,1.87,0,0,0,3.74,0,0,0,13.31,1
0,0,0,0,0,0,0,0,0,12.07,1
0,1.87,0,0,0,0,0,0.75,2,19.00,1
0,0,0,0,0,0,0,0,0,09.35,1
0,0,0,0,0,3.74,0,0,0,10.08,1
3.74,3.74,0,0,0,0,0,0,6,04.12,1
0,0,0,0,0,0,0,0,0,07.26,1
0,1.25,0,0,0,0,0,0,0,03.30,1
3.74,3.74,0,0,0,0,0,0,6,07.36,1
0,3.74,0,0,3.74,0,0,3.74,0,07.14,1
3.74,0,0,0,0,0,0,3.74,1,10.24,1
3.74,3.74,0,0,0,0,0,0,7,04.10,1
0,0.94,0,0,0,3.74,0,1.25,0,04.30,1
0,0,0,0,0,0,0,0,1,09.28,1
0,0,0,0,0,0,0,0,0,03.46,1
0,0.94,0,0,0.25,3.74,0,0.94,0,03.28,1
0,0,0,0,1.25,0,0,3.74,1,19.51,1
0.75,0,0,0,0,0,0,0,4,20.12,1
0,0,0,0,0,0,0,0,0,12.19,1
1.87,0.75,3.74,0,0,0,0,0,6,08.13,1
0,0,0,0,0,0,0,0,2,23.10,1
0,0,0,0,0,0,0,0,1,00.40,1
0,3.74,0,0,0,0,0,0,0,13.46,1
0,0,0,0,0,0,0,0,2,14.49,1
3.74,3.74,0,0,0,0,0,3.74,0,13.03,1
3.74,3.74,0,0,0,0,0,0,6,13.25,1
0,3.74,0,0,3.74,0,0,0,0,21.28,1
0,0,0,0,0,0,0,0,2,19.05,1
0,0,0,0,0,3.74,0,0,0,19.27,1
0,0,0,0,0,0,0,0,0,12.29,1
3.74,3.74,0,0,0,0,0,0,5,09.33,1
0,1.25,0,0,0,0,0,3.74,0,01.10,1
0,0,0,0,0,0,0,3.74,2,13.46,1
0,0,0,0,0,3.74,0,1.25,0,15.47,1
3.74,1.87,0,0,0,0,0,3.74,0,19.00,1
3.74,1.87,0,0,0,0,0,0,3,17.38,1
0,3.74,0,0,0,0,0,3.74,1,18.21,1
0.62,0,0,0,3.74,3.74,0,0,2,04.58,1
0,0,0,0,0,0,0,0,2,00.49,1
0,1.25,0,0,0,0,0,3.74,0,04.31,1
0,0,0,0,0,0,0,0,0,10.36,1
